commodity,window,price_cagr_pct,carry_cost_pct,storage_component_pct,net_annual_pct,verdict
paddy,5y,4.51,20.33,9.83,-15.81,CARRY EXCEEDS APPRECIATION
paddy,10y,4.01,20.33,9.83,-16.31,CARRY EXCEEDS APPRECIATION
paddy,14y_full,4.84,20.33,9.83,-15.48,CARRY EXCEEDS APPRECIATION
rice_nonbasmati,5y,4.65,16.43,5.93,-11.77,CARRY EXCEEDS APPRECIATION
rice_nonbasmati,10y,3.57,16.43,5.93,-12.85,CARRY EXCEEDS APPRECIATION
rice_nonbasmati,14y_full,4.46,16.43,5.93,-11.97,CARRY EXCEEDS APPRECIATION
wheat,5y,6.35,16.99,6.49,-10.64,CARRY EXCEEDS APPRECIATION
wheat,10y,4.8,16.99,6.49,-12.19,CARRY EXCEEDS APPRECIATION
wheat,14y_full,5.19,16.99,6.49,-11.8,CARRY EXCEEDS APPRECIATION
maize,5y,5.41,18.5,8.0,-13.09,CARRY EXCEEDS APPRECIATION
maize,10y,3.02,18.5,8.0,-15.48,CARRY EXCEEDS APPRECIATION
maize,14y_full,3.81,18.5,8.0,-14.69,CARRY EXCEEDS APPRECIATION
jowar,5y,8.21,15.69,5.19,-7.48,CARRY EXCEEDS APPRECIATION
jowar,10y,6.82,15.69,5.19,-8.88,CARRY EXCEEDS APPRECIATION
jowar,14y_full,6.04,15.69,5.19,-9.65,CARRY EXCEEDS APPRECIATION
bajra,5y,10.67,17.42,6.92,-6.75,CARRY EXCEEDS APPRECIATION
bajra,10y,4.56,17.42,6.92,-12.86,CARRY EXCEEDS APPRECIATION
bajra,14y_full,6.0,17.42,6.92,-11.42,CARRY EXCEEDS APPRECIATION
arhar_tur,5y,3.63,13.67,2.57,-10.04,CARRY EXCEEDS APPRECIATION
arhar_tur,10y,-0.26,13.67,2.57,-13.92,CARRY EXCEEDS APPRECIATION
arhar_tur,14y_full,5.74,13.67,2.57,-7.93,CARRY EXCEEDS APPRECIATION
gram,5y,2.62,14.6,3.5,-11.98,CARRY EXCEEDS APPRECIATION
gram,10y,1.68,14.6,3.5,-12.92,CARRY EXCEEDS APPRECIATION
gram,14y_full,3.5,14.6,3.5,-11.1,CARRY EXCEEDS APPRECIATION
moong,5y,2.13,13.44,2.34,-11.31,CARRY EXCEEDS APPRECIATION
moong,10y,1.52,13.44,2.34,-11.92,CARRY EXCEEDS APPRECIATION
moong,14y_full,4.92,13.44,2.34,-8.52,CARRY EXCEEDS APPRECIATION
urad,5y,0.53,13.73,2.63,-13.21,CARRY EXCEEDS APPRECIATION
urad,10y,-0.6,13.73,2.63,-14.34,CARRY EXCEEDS APPRECIATION
urad,14y_full,5.83,13.73,2.63,-7.9,CARRY EXCEEDS APPRECIATION
masur,5y,2.47,14.03,2.93,-11.57,CARRY EXCEEDS APPRECIATION
masur,10y,0.39,14.03,2.93,-13.65,CARRY EXCEEDS APPRECIATION
masur,14y_full,4.67,14.03,2.93,-9.36,CARRY EXCEEDS APPRECIATION
rajma,5y,3.09,13.38,2.28,-10.3,CARRY EXCEEDS APPRECIATION
rajma,10y,4.22,13.38,2.28,-9.16,CARRY EXCEEDS APPRECIATION
rajma,14y_full,3.98,13.38,2.28,-9.4,CARRY EXCEEDS APPRECIATION
mustard_seed,5y,3.05,14.08,2.98,-11.02,CARRY EXCEEDS APPRECIATION
mustard_seed,10y,3.86,14.08,2.98,-10.22,CARRY EXCEEDS APPRECIATION
mustard_seed,14y_full,4.23,14.08,2.98,-9.85,CARRY EXCEEDS APPRECIATION
soybean,5y,-0.18,14.7,3.6,-14.88,CARRY EXCEEDS APPRECIATION
soybean,10y,3.77,14.7,3.6,-10.94,CARRY EXCEEDS APPRECIATION
soybean,14y_full,4.49,14.7,3.6,-10.21,CARRY EXCEEDS APPRECIATION
groundnut_seed,5y,4.08,15.48,4.38,-11.4,CARRY EXCEEDS APPRECIATION
groundnut_seed,10y,3.94,15.48,4.38,-11.53,CARRY EXCEEDS APPRECIATION
groundnut_seed,14y_full,4.37,15.48,4.38,-11.1,CARRY EXCEEDS APPRECIATION
sugar,5y,4.01,16.59,5.49,-12.58,CARRY EXCEEDS APPRECIATION
sugar,10y,2.2,16.59,5.49,-14.38,CARRY EXCEEDS APPRECIATION
sugar,14y_full,2.33,16.59,5.49,-14.26,CARRY EXCEEDS APPRECIATION
