commodity,entry,trailing_12m_pct,gross_ret_pct,carry_hurdle_pct,net_pct,paid_off
wheat,2020-11,-10.1,30.1,36.9,-6.8,False
maize,2017-09,-10.5,48.5,40.4,8.1,True
maize,2020-05,-11.3,19.9,40.4,-20.5,False
jowar,2018-01,-10.6,49.7,33.8,15.9,True
jowar,2020-12,-10.7,24.7,33.8,-9.1,False
bajra,2017-09,-10.1,40.5,37.9,2.7,True
bajra,2020-07,-16.2,24.3,37.9,-13.5,False
arhar_tur,2016-10,-16.7,-40.0,29.2,-69.2,False
gram,2013-06,-13.1,18.8,31.3,-12.5,False
gram,2017-07,-22.5,-17.1,31.3,-48.4,False
moong,2016-08,-12.9,-17.1,28.7,-45.8,False
urad,2016-12,-12.3,-30.9,29.4,-60.2,False
urad,2022-02,-10.5,22.7,29.4,-6.7,False
masur,2016-11,-11.1,-31.4,30.0,-61.5,False
rajma,2014-11,-11.4,0.3,28.6,-28.2,False
rajma,2017-12,-12.8,-2.5,28.6,-31.0,False
mustard_seed,2013-07,-10.0,23.4,30.1,-6.7,False
mustard_seed,2017-05,-11.3,6.5,30.1,-23.6,False
mustard_seed,2022-10,-11.9,-2.8,30.1,-32.9,False
soybean,2013-07,-16.0,-4.2,31.6,-35.7,False
soybean,2015-07,-16.4,-17.3,31.6,-48.9,False
soybean,2017-07,-23.4,29.0,31.6,-2.5,False
soybean,2022-07,-12.5,-22.0,31.6,-53.6,False
groundnut_seed,2013-08,-13.6,26.9,33.3,-6.4,False
groundnut_seed,2017-07,-14.9,15.3,33.3,-18.1,False
sugar,2014-01,-11.6,1.4,35.9,-34.5,False
sugar,2018-03,-10.6,0.2,35.9,-35.8,False
