crop,msp_rs_qtl_2025_26,n_market_reports,modal_median,pct_reports_below_msp,median_gap_vs_msp_pct
wheat,2425,768,2500.0,19,3
paddy,2369,335,2385.0,36,1
gram,5650,231,5900.0,22,4
maize,2400,226,2200.0,75,-8
soybean,5328,195,7050.0,2,32
mustard,5950,169,7400.0,4,24
moong,8768,161,6901.0,84,-21
groundnut,7263,134,7000.0,55,-4
tur,8000,129,7531.0,70,-6
urad,7800,88,8800.0,31,13
bajra,2775,84,2382.0,92,-14
masur,6700,78,7000.0,46,4
jowar,3699,62,3400.0,56,-8
cotton,7710,35,8400.0,23,9
ragi,4886,14,3550.0,93,-27
sunflower,7721,2,7900.0,0,2
