product,demand_tier,domestic_market_size,domestic_cagr_pct,export_volume,export_value,top_destinations,price_realisation,demand_outlook,evidence_label,source,vintage
Rice bran oil (RBO),domestic-commercial-growth + import-substitution,"India RBO mkt ~USD 1.17 bn (2019) -> ~1.39 bn (2024); India = 36.7% of global mkt, ~60% of global refined RBO output",~3.0 (India); global 1.7-11.1 by source,"India RBO exports ~USD 104.5 mn (2024, 4.36% of global export value); DORB oilmeal separate",~USD 104.5 mn (2024),"Netherlands, Japan, USA, Italy; recent 6mo: USA, Sri Lanka, Bhutan, Vietnam, Australia",USD 0.45-2.47/kg (2024),"Health-oil positioning (oryzanol/232C smoke pt); NAFED fortified-RBO 2021; import-substitution anchor ~Rs 7544 cr (repo)",reported,"imarcgroup.com/rice-bran-oil-processing-plant; tridge.com/.../rice-bran-oil/IN; mordorintelligence.com rice-bran-oil-market",2024-2025
Basmati rice (branded/premium),export-led,"domestic branded-rice within India packaged-rice mkt 13.68 MT (2025)",n/a,"60.65 LMT (2024-25), +8.23 LMT (15.7%) YoY","Rs ~50,000 cr / ~USD 5.94 bn (2024-25), +Rs 1,923 cr YoY",Saudi Arabia (11.73 LMT/Rs 10190 cr) Iraq (9.05 LMT/Rs 7201 cr) Iran (8.55 LMT) Yemen UAE USA UK Kuwait Oman Qatar; 154 countries,~Rs 82/kg avg realisation (value/vol),"Proven high-value rice export (KRBL/LT Foods model); Iran payment/geopolitics = key risk to ~Rs 6000 cr market",verified,"apeda.gov.in/BasmatiRice; ricenewstoday.com indian-basmati-24-25-exports",2024-2025 (FY25 APEDA)
Non-basmati rice,export-led,within India packaged-rice mkt,n/a,"14.13 mn MT (2024-25 APEDA); some sources 17.6 mn MT","Rs 55,408 cr / USD 6,527.64 mn (2024-25 APEDA)","Benin, Guinea, Cote d'Ivoire, Togo, Bangladesh (top 5 = ~44% vol)",~Rs 39/kg (commodity),"Volume-led, low-value; export-ban lifted; food-security staple for W-Africa/Bangladesh",verified,"apeda.gov.in/NonBasmatiRice; dgciskol.gov.in brief report on Export of Rice",2024-2025 (FY25 APEDA)
Poha / murmura / value-added rice FMCG,domestic-commercial-growth + export (diaspora),"India packaged-rice mkt 13.68 MT (2025) -> 21.09 MT (2034); poha part of Indian ethnic-snacks mkt USD 5.18 bn (2024) -> 17.5 bn (2033)",4.75 (packaged rice); 14.5 (ethnic snacks),"exported within India snack exports USD 1.2 bn (2024, up from 0.54 bn 2019)","part of USD 1.2 bn snack exports; poha-specific not broken out","USA (23.9% of snack exports, 4.5 mn diaspora), UK, Canada, Australia, Gulf","poha ~Rs 40-70/kg retail; DPR gross 14-23% net 10-15%","Top DPR-margin product (NIFTEM-T); FMCG breakfast demand + diaspora ethnic pull; 17% CAGR snack exports",reported,"imarcgroup.com/india-packaged-rice-market; naviexports.com desi-food-boom; dataintelo.com poha-market",2024-2025
Maize starch + derivatives (HFCS/sorbitol/modified),domestic-commercial-growth + export,"India corn-starch USD 3.78 bn (2023) -> 4.76 bn (2030); India starch+derivatives USD 3.45 bn (2025) -> 4.12 bn (2030); modified starch USD 536.5 mn (2025) -> 804.7 mn (2034)",5.2 (corn starch); 7.34 (starch+deriv); 4.47 (modified),"net exporter; production 2.6 mn t vs consumption 2 mn t; world #3 producer","n/a (net exporter; corn gluten meal to >25 countries)","corn-gluten-meal exports to 25+ countries; starch derivatives regional","wet-mill spread; DPR 12-20% net, IRR 22-28%","Wet-milling only ~14% of maize; pharma-excipient segment fastest (8.8% CAGR); still imports high-purity derivatives",reported,"industryarc.com india-corn-starch; mordorintelligence.com india-starch; imarcgroup.com india-modified-starch",2024-2025
Vital wheat gluten,domestic-commercial-growth (import-substitution),"India niche (displaced by soya/legumes); global VWG USD 2.8 bn (2024) -> 4.2 bn (2033)",4.6 (global VWG),"India IMPORTS ~13,000 t/yr, China 88%/largest supplier","import ~USD 1,292/t (~Rs 108/kg); ~Rs 140 cr import bill","n/a (India is importer)",~Rs 108/kg landed,"Bakery + meat-analogue + aquafeed binder growth; import-substitution play on wheat India already holds",verified (import data),"indexbox.io india-wheat-gluten; market.us wheat-gluten; cognitivemarketresearch VWG",2024-2025
Pulse / pea / soy protein isolate,export-led (global plant-protein boom),"India plant-based-protein USD 779.34 mn (2025) -> 1,435.69 mn (2035); pea-protein isolate = 50.78% of India mkt; global pea-protein isolate USD 2.68 bn (2024) -> 6.74 bn (2033); global plant-protein USD 27.48 bn (2025) -> 78.94 bn (2033)",6.3 (India PBP); 10.8 (global pea isolate); 14.1 (global plant-protein),"India exporting to US/UK/EU/UAE; export CAGR ~9.4% through 2034",n/a (nascent; >60% conversion margin),"US, UK, EU, UAE","Rs 250-450/kg; >60% conversion margin","Global plant-protein boom; India potential export source on agri base; MoFPI plant-based-protein sector profile published",reported,"mordorintelligence.com india-pea-protein; fortunebusinessinsights.com pea-protein; mofpi.gov.in Plant_based_Protein_sector_profile",2024-2025
Nutraceuticals - gamma oryzanol / tocotrienols / natural vitamin E,export-led (high-value tail),"India oryzanol mkt only ~USD 6.5 mn (repo); India imports 60-70% natural vit-E; India = world's #1 gamma-oryzanol IMPORTER","3.6 (oryzanol); 7.78 (natural vit-E); 8.75 (tocopherol)","India currently IMPORTS oryzanol (111 shipments, top importer) from US/Japan/Germany; net export potential from bran/DD","global gamma-oryzanol USD 2.15 bn (2023); natural vit-E USD 1.10 bn (2025) -> 2.16 bn (2034); tocopherol USD 1.38 bn (2024) -> 2.94 bn (2033)","(export potential) global nutraceutical buyers, Japan, US, EU","TRF USD 150-300/kg; d-alpha tocopherol USD 55-110/kg; oryzanol Rs value-dense","India makes the RBO but imports the isolate - natural-vit-E export from bran DD is the high-value gap; tiny tonnage",reported/estimated,"grandviewresearch.com gamma-oryzanol; fortunebusinessinsights.com natural-vitamin-e; volza.com gamma-oryzanol import India",2023-2025
Precipitated silica from rice-husk ash (green silica),export-led + domestic industrial,"India 2nd-largest rice producer; RHA 85-95% amorphous silica; Tata Chem Cuddalore +50 ktpa (Rs 775 cr, Nov 2025) on 13.8 ktpa","10.4 (global RHA silica)","global RHA precipitated-silica USD 552 mn (2025) -> 1,010 mn (2034)","(export/import-subst) global tyre & industrial","tyre industry ~two-thirds of rice-husk silica demand","RHA Rs 1-3.5/kg -> silica ~30x value jump; ~15% est net","Green-tyre rolling-resistance filler; world's-first commercial green-silica plant (Goodyear + IISc, USD 28 mn FMO/DEG); tyre-sector pull strong",reported/estimated,"intelmarketresearch.com precipitated-silica-rice-husk; entrepreneurindia.co rice-husk-silica-green-tyres; persistencemarketresearch India-precipitated-silica",2025
Besan / gram flour,domestic-commercial-growth + export,"India >5 mn t besan output; global gram-flour mkt USD 2.5 bn (2024) -> 4.1 bn (2033)",n/a (global ~5.6),"48 countries; ~12,000 t (dated 2015-16 APEDA)","dated; US/Australia/Singapore = 70% of besan export (Oct23-Sep24)","USA, Australia, Singapore, UK, Gulf, Canada",DPR net 1.5-3.2% (thin, high IRR ~20%),"Huge domestic staple; diaspora export; state procures chana and sells raw capturing none",reported,"verifiedmarketreports.com gram-flour-market; volza.com besan-flour export India",2024
Spices (value-added),export-led,"large domestic; export FY25 all-time high",n/a,"17.99 lakh t (FY25)","Rs 39,994.48 cr / USD 4,722.65 mn (FY25, all-time high)","global; USA, China, UAE, Bangladesh key","varies by spice","Record FY25; value-addition (blends/oleoresins) = APEDA/Spices Board priority",verified,"indianspices.com major-itemwise-export; apeda.gov.in annual report 2024-25",2024-2025 (FY25)
Fortified rice kernel (FRK),captive-government-demand,"~925 FRK manufacturers, 111 LMT/yr FRK-equiv capacity; 21,000 mills w/ blenders (223 LMT/month fortified-rice blending); 406 LMT fortified rice distributed 2019-20->Mar 2024",n/a (policy-set),"standing captive demand ~3.5-4 LMT/yr FRK (NFSA rice ~350-400 LMT x 1% blend)","program Rs 17,082 cr allocated Jul 2024-Dec 2028 (~Rs 2,700 cr/yr), 100% GoI-funded","captive domestic PDS/ICDS/PM-POSHAN (~81 cr beneficiaries)","tender-priced; ~8-15% est margin","Surest demand - government-created & bought; universal coverage since Mar 2024, extended to Dec 2028; fortified-atta could follow",verified (program) / estimated (margin),"pib.gov.in PRID 2063447; vajiramandravi.com fortified-rice-2028; business-standard fortified-rice-till-2028",2024
Oilmeal / de-oiled rice bran (DORB),export-led (floor, already monetised),"feed byproduct; India big exporter","n/a","record 48.86 LMT oilmeal (FY24); DORB export fell to 1.52 LMT (FY24, ban since Jul 2023, reopened Oct 2025)","Rs 15,368 cr / ~USD 1.84 bn oilmeal (FY24)","Vietnam, Bangladesh, S Korea, Thailand, Japan (feed markets)","commodity feed value","Already monetised at commodity value; SEA aqua-feed is the USGC-mirror demand-creation gap",verified,"business-standard.com India exports record 4.8 mn t oilmeal FY24 (SEA); ibef.org oil-meal FY24",2024
