product,category,net_profit_margin_pct,net_profit_margin_range,irr_pct,payback_years,project_cost,capacity,source_type,source_name,url,vintage,label
Gamma oryzanol / tocotrienols / natural vitamin-E (rice bran nutraceutical),Nutraceutical tail,30,25-40 (gross 40-60),,,,molecule-scale (~1.5% of RBO),industry,Grand View / Industry-Experts market reports (no DPR at co-op scale),https://www.grandviewresearch.com/industry-analysis/gamma-oryzanol-market,2025-2026,estimated
Pulse / pea protein isolate,Protein isolate,22,20-25 (>60% conversion margin gross),,,,niche,industry,byproduct-product-tree.md / NIIR pea-protein techno-economic note,https://www.niir.org/blog/technical-and-economic-evaluation-of-pea-protein-isolate-concentrate-production/,2026,reported
Maize / corn wet-milling (starch + dextrose/HFCS/sorbitol),Starch derivative,16,12-20 (gross 25-35),25,4.5,INR 80-120 cr (integrated),100+ TPD,industry,EntrepreneurIndia / NPCS maize wet-milling benchmarks,https://www.entrepreneurindia.co/blogs/maize-processing-business-india/,2024-2026,reported
Wheat gluten + starch (wet milling),Starch derivative,16,12-20 (gross 25-35),,,large-scale,50-200 kMT/yr,industry,IMARC wheat starch / wheat gluten plant reports,https://www.imarcgroup.com/wheat-starch-manufacturing-plant-project-report,2025,reported
Rice starch (from broken rice),Starch derivative,15,12-18,,,,niche premium,industry,IMARC starch plant report + IndustryARC rice-starch mkt,https://www.imarcgroup.com/starch-manufacturing-plant-project-report,2024-2025,estimated
Rice husk briquette,Husk energy/byproduct,12.5,10-15 (gross 25-35),,2.0,INR 6-10 lakh (small) to larger,varies,MSME/industry,EntrepreneurIndia + IMARC biomass-briquette DPR,https://www.imarcgroup.com/biomass-briquettes-manufacturing-plant-project-report,2025-2026,reported
Poha (flaked) / murmura (puffed) rice,Rice FMCG value-add,12.5,10-15 (gross 14-23),,2.83,INR 21.52 lakh,1 TPD (1000 kg/day),DPR (NIFTEM-T PMFME),NIFTEM-Thanjavur PMFME model DPR - processing of puffed & flaked rice,https://niftem-t.ac.in/pmfme/dpr-price.pdf,2022,verified
Rice bran oil - solvent extraction plant,Edible oil,11.5,8-15 (gross 20-30; small-plant ROR 40-78%),,,INR ~14.5 cr (industry est),20-100 kMT/yr,DPR/industry,IMARC RBO processing-plant DPR + EIRI 50 TPD crude-RBO DPR,https://www.imarcgroup.com/rice-bran-oil-processing-plant-project-report,2026,reported
Cottonseed oil mill,Edible oil,11.5,8-15 (gross 20-30),,,large-scale,20-100 kMT/yr,industry,IMARC cottonseed-oil processing-plant DPR,https://www.imarcgroup.com/cottonseed-oil-processing-plant-project-report,2026,reported
Fortified rice kernel (FRK) plant,Fortification (captive),11,8-15 (tender-priced),,,INR ~1-3 cr,200 kg/hr typical,estimate/industry,Syndicated Analytics / IMARC FRK plant reports + Scribd FRK DPR,https://www.imarcgroup.com/fortified-rice-manufacturing-plant-project-report,2024-2025,estimated
Rice mill (1 TPH cooperative),Milling (anchor),11,8.5-15.4 (profit on sales yrs II-I),19,5.17,INR 80 lakh,1 TPH,DPR (NCDC/CSISAC),NCDC cooperative rice-mill DPR (Chhattisgarh) - repo anchor,report/rice-mill-business-model.md,2018,verified
Dal mill / pulse processing,Milling,5.3,5-5.5 (net); IRR-rich low-margin,30,3.2,INR 1.8 cr (20 MT/day medium unit),2.5-30 TPD,DPR (RACP / NIFTEM PMFME),Rajasthan RACP Technology DPR (Grant Thornton) - Dal Mill; NIFTEM PMFME dal DPR (IRR 25.04%),https://www.tourism.rajasthan.gov.in/content/dam/agriculture/Rajasthan%20Agricultural%20Competitiveness%20Project/ABPFTechDPR/RACP_ABPF_Tech%20DPR_Dal%20Mill.pdf,2018-2022,verified
Roller flour mill (atta / maida / suji),Milling,4.5,3-5.5,22,3.1,large-scale,1000 kg/hr+,DPR (RACP),Rajasthan RACP Technology DPR (Grant Thornton) - Wheat Flour Mill,https://www.tourism.rajasthan.gov.in/content/dam/agriculture/Rajasthan%20Agricultural%20Competitiveness%20Project/ABPFTechDPR/RACP_ABPF_Tech%20DPR_Wheat%20flour%20Mill.pdf,2018,verified
Mustard oil expeller (small),Edible oil,4,2-6 (gross 14-16),,,INR 15.07 lakh,110000 L/yr,DPR (NIFTEM-T PMFME),NIFTEM-Thanjavur PMFME model DPR - processing of mustard oil,https://niftem-t.ac.in/pmfme/dpr-moil.pdf,2022,verified
Cattle / poultry feed plant,Feed,3.5,1.75-5.24 (net profit ratio),19,,large-scale,12000 MT/yr,DPR (govt),Meghalaya AH&Vety Model DPR - Poultry & Cattle Feed unit,https://megahvt.gov.in/policy/ModelDPRPoultryandCattleFeed.pdf,2023,verified
Edible-oil / RBO refinery (branded refiner),Edible oil refining,3,2-4,,,large-scale,large,industry,Listed-refiner financials (Adani Wilmar / edible-oil refiners ~2-4% net) + repo company-financials-notes.md,report/company-financials-notes.md,2024-2025,industry-reported
Besan / gram flour plant,Milling,2.5,1.5-3.2,20,3.2,large-scale,4 TPD+,DPR (RACP),Rajasthan RACP Technology DPR (Grant Thornton) - Besan Mill,https://www.tourism.rajasthan.gov.in/content/dam/agriculture/Rajasthan%20Agricultural%20Competitiveness%20Project/ABPFTechDPR/RACP_ABPF_Tech%20DPR_Besan%20Mill.pdf,2018,verified
Precipitated silica from rice husk ash,Husk high-value,15,estimated (RHA Rs1-3.5/kg -> ~30x value jump; no co-op DPR),,,capital-intensive,industrial,estimate/industry,pmarketresearch RHA-silica + byproduct-product-tree.md,https://pmarketresearch.com/chemi/rice-husk-ash-precipitated-silica-market/,2027 proj,estimated
